id,pop,city,state,loc
1605,25695,WORCESTER,MA,"['-71.788795', ' 42.289391']"
1606,18213,WORCESTER,MA,"['-71.795774', ' 42.311029']"
1607,9048,WORCESTER,MA,"['-71.793837', ' 42.230294']"
1608,3646,WORCESTER,MA,"['-71.800262', ' 42.262425']"
1609,21905,WORCESTER,MA,"['-71.817456', ' 42.275387']"
1610,23720,WORCESTER,MA,"['-71.810798', ' 42.249186']"
1611,2510,CHERRY VALLEY,MA,"['-71.874971', ' 42.237287']"
1612,4047,PAXTON,MA,"['-71.920234', ' 42.306646']"
1701,65046,FRAMINGHAM,MA,"['-71.425486', ' 42.300665']"
1718,2330,VILLAGE OF NAGOG,MA,"['-71.422354', ' 42.514941']"
1719,3343,BOXBORO,MA,"['-71.518229', ' 42.486876']"
1720,15514,ACTON,MA,"['-71.448255', ' 42.475076']"
1721,12066,ASHLAND,MA,"['-71.458347', ' 42.253909']"
1730,16147,BEDFORD,MA,"['-71.276796', ' 42.484287']"
1740,3134,BOLTON,MA,"['-71.607593', ' 42.436523']"
1741,4333,CARLISLE,MA,"['-71.351892', ' 42.528562']"
1742,17076,CONCORD,MA,"['-71.374741', ' 42.456701']"
1745,506,SOUTHBOROUGH,MA,"['-71.502256', ' 42.293221']"
1746,12917,HOLLISTON,MA,"['-71.436059', ' 42.202641']"
1747,5649,HOPEDALE,MA,"['-71.537601', ' 42.126796']"
1748,9191,HOPKINTON,MA,"['-71.530178', ' 42.219046']"
1749,17233,HUDSON,MA,"['-71.560896', ' 42.391796']"
1752,31813,MARLBOROUGH,MA,"['-71.543355', ' 42.350861']"
1754,10325,MAYNARD,MA,"['-71.454975', ' 42.432118']"
1756,4010,MENDON,MA,"['-71.549882', ' 42.096744']"
1757,25372,MILFORD,MA,"['-71.527402', ' 42.151142']"
1760,30432,NATICK,MA,"['-71.35741', ' 42.287476']"
1770,3998,SHERBORN,MA,"['-71.378717', ' 42.233088']"
1772,6122,SOUTHBOROUGH,MA,"['-71.531997', ' 42.293919']"
1773,4515,LINCOLN,MA,"['-71.313723', ' 42.421723']"
1775,5328,STOW,MA,"['-71.515019', ' 42.430785']"
1776,14358,SUDBURY,MA,"['-71.428159', ' 42.383655']"
1778,11874,WAYLAND,MA,"['-71.358781', ' 42.348629']"
1801,36152,WOBURN,MA,"['-71.157404', ' 42.482894']"
1803,23093,BURLINGTON,MA,"['-71.200437', ' 42.508942']"
1810,29161,ANDOVER,MA,"['-71.156481', ' 42.64956']"
1821,28899,BILLERICA,MA,"['-71.251754', ' 42.551874']"
1824,24457,SOUTH CHELMSFORD,MA,"['-71.357521', ' 42.59356']"
1826,25594,DRACUT,MA,"['-71.318592', ' 42.676422']"
1827,2166,DUNSTABLE,MA,"['-71.495201', ' 42.673917']"
1830,22445,HAVERHILL,MA,"['-71.072057', ' 42.785605']"
1832,16860,HAVERHILL,MA,"['-71.109519', ' 42.779154']"
1833,6384,GEORGETOWN,MA,"['-70.982239', ' 42.728067']"
1834,5214,GROVELAND,MA,"['-71.027018', ' 42.753027']"
1835,12078,BRADFORD,MA,"['-71.08549', ' 42.758597']"
1840,2728,LAWRENCE,MA,"['-71.16381', ' 42.707958']"
1841,45555,LAWRENCE,MA,"['-71.166997', ' 42.711545']"
1843,22285,LAWRENCE,MA,"['-71.160506', ' 42.691053']"
1844,39664,METHUEN,MA,"['-71.181031', ' 42.728019']"
1845,22792,NORTH ANDOVER,MA,"['-71.109004', ' 42.682583']"
1850,15434,LOWELL,MA,"['-71.305078', ' 42.656035']"
1851,28154,LOWELL,MA,"['-71.332882', ' 42.631548']"
1852,33379,LOWELL,MA,"['-71.298331', ' 42.634413']"
1854,26472,LOWELL,MA,"['-71.335464', ' 42.649254']"
1860,5196,MERRIMAC,MA,"['-71.004658', ' 42.834629']"
1862,8720,NORTH BILLERICA,MA,"['-71.290217', ' 42.575694']"
1863,7878,NORTH CHELMSFORD,MA,"['-71.390834', ' 42.634737']"
1864,12002,NORTH READING,MA,"['-71.094711', ' 42.581898']"
1867,22539,READING,MA,"['-71.109021', ' 42.527986']"
1876,27269,TEWKSBURY,MA,"['-71.223224', ' 42.60283']"
1879,8643,TYNGSBORO,MA,"['-71.415766', ' 42.672383']"
1880,24830,WAKEFIELD,MA,"['-71.068471', ' 42.500886']"
1886,16430,GRANITEVILLE,MA,"['-71.438143', ' 42.589959']"
1887,17647,WILMINGTON,MA,"['-71.172306', ' 42.558143']"
1890,20232,WINCHESTER,MA,"['-71.14407', ' 42.453028']"
1901,1187,LYNN,MA,"['-70.945516', ' 42.463378']"
1902,41625,LYNN,MA,"['-70.941989', ' 42.469814']"
1904,17073,EAST LYNN,MA,"['-70.962798', ' 42.487453']"
1905,21360,WEST LYNN,MA,"['-70.973825', ' 42.46453']"
1906,25487,SAUGUS,MA,"['-71.011093', ' 42.463344']"
1907,13650,SWAMPSCOTT,MA,"['-70.909774', ' 42.474611']"
1908,3828,NAHANT,MA,"['-70.927739', ' 42.426098']"
1913,14970,AMESBURY,MA,"['-70.936681', ' 42.855879']"
1915,38259,BEVERLY,MA,"['-70.875939', ' 42.560825']"
1921,6249,BOXFORD,MA,"['-71.011372', ' 42.679719']"
1922,2006,BYFIELD,MA,"['-70.935053', ' 42.756792']"
1923,23977,DANVERS,MA,"['-70.942461', ' 42.569402']"
1929,3260,ESSEX,MA,"['-70.782794', ' 42.628629']"
1930,28716,GLOUCESTER,MA,"['-70.672149', ' 42.620836']"
1938,11864,IPSWICH,MA,"['-70.849353', ' 42.680877']"
1940,11274,LYNNFIELD,MA,"['-71.033873', ' 42.532711']"
1944,5286,MANCHESTER,MA,"['-70.767434', ' 42.57963']"
1945,19971,MARBLEHEAD,MA,"['-70.865291', ' 42.498431']"
1949,4921,MIDDLETON,MA,"['-71.013004', ' 42.594184']"
1950,16317,NEWBURYPORT,MA,"['-70.884668', ' 42.812964']"
1951,3710,NEWBURY,MA,"['-70.847377', ' 42.783475']"
1952,6879,SALISBURY,MA,"['-70.858822', ' 42.850678']"
1960,47685,PEABODY,MA,"['-70.961194', ' 42.532579']"
1966,7482,ROCKPORT,MA,"['-70.619424', ' 42.657973']"
1969,4368,ROWLEY,MA,"['-70.90696', ' 42.713753']"
1970,37642,SALEM,MA,"['-70.900343', ' 42.515114']"
1982,7288,SOUTH HAMILTON,MA,"['-70.856132', ' 42.618478']"
1983,5763,TOPSFIELD,MA,"['-70.948843', ' 42.641546']"
1984,4148,WENHAM,MA,"['-70.878622', ' 42.60166']"
1985,3421,WEST NEWBURY,MA,"['-70.977811', ' 42.794865']"
2019,14873,BELLINGHAM,MA,"['-71.476829', ' 42.074573']"
2021,18530,CANTON,MA,"['-71.135536', ' 42.164454']"
2025,7075,COHASSET,MA,"['-70.812788', ' 42.239484']"
2026,23782,DEDHAM,MA,"['-71.163741', ' 42.243685']"
2030,4915,DOVER,MA,"['-71.285363', ' 42.236233']"
2032,3844,EAST WALPOLE,MA,"['-71.2179', ' 42.15324']"
2035,14293,FOXBORO,MA,"['-71.244127', ' 42.064938']"
